company,domain,category,founded_year,employee_count,hq,notes
Fleetio,fleetio.com,fleet management software,,,,"Fleet maintenance, inspections, fuel, parts, telematics integrations."
Azuga,azuga.com,fleet telematics software,,,,"Fleet tracking, driver safety, dashcams, maintenance."
Teletrac Navman,teletracnavman.com,fleet telematics software,,,,"Fleet tracking, compliance, driver safety, telematics."
Motive,gomotive.com,fleet management software,,,,"Fleet operations, driver safety, dispatch, compliance."
Samsara,samsara.com,connected operations software,,,,"Connected operations, fleet, sensors, safety, workflows."
GPS Trackit,gpstrackit.com,gps fleet tracking software,,,,"Fleet tracking, asset monitoring, reports, alerts."
Fleet Complete,fleetcomplete.com,fleet telematics software,,,,"Fleet, asset, mobile workforce, connected vehicle data."
NexTraq,nextraq.com,fleet tracking software,,,,"Fleet tracking, dispatch, driver safety, reporting."
One Step GPS,onestepgps.com,gps fleet tracking software,,,,"GPS fleet tracking, alerts, maintenance, reporting."
ClearPathGPS,clearpathgps.com,gps fleet tracking software,,,,"GPS fleet tracking, dispatch, alerts, reporting."
Zubie,zubie.com,connected car fleet software,,,,"Vehicle telematics, diagnostics, trips, connected car data."
Ridecell,ridecell.com,fleet automation software,,,,"Fleet automation, shared mobility, digital transformation."
Autofleet,autofleet.io,fleet optimization software,,,,"Fleet optimization, mobility operations, dispatch."
Dealertrack,dealertrack.com,dealership software,,,,"Dealer workflows, finance, registration, inventory, compliance."
CDK Global,cdkglobal.com,dealership management software,,,,"Dealer management system, inventory, service, workflows."
Tekion,tekion.com,automotive retail software,,,,"Automotive retail platform, dealer workflows, service, data."
DealerCenter,dealercenter.com,dealership management software,,,,"Independent dealer management, inventory, CRM, payments."
DealerSocket,dealersocket.com,dealership CRM software,,,,"Dealer CRM, inventory, DMS, service workflows."
Reynolds and Reynolds,reyrey.com,dealership management software,,,,"Dealer management systems, retailing, service, data."
AutoLeap,autoleap.com,auto repair shop software,,,,"Shop management, scheduling, estimates, inspections, payments."
Shopmonkey,shopmonkey.io,auto repair shop software,,,,"Shop management, inspections, estimates, workflows."
Jobber,jobber.com,field service management software,,,,"Field service scheduling, dispatch, quotes, invoicing, customer portal."
ServiceTitan,servicetitan.com,field service management software,,,,"Home service operations, dispatch, call booking, revenue workflows."
Housecall Pro,housecallpro.com,field service management software,,,,"Scheduling, dispatch, invoicing, customer messaging."
FieldEdge,fieldedge.com,field service management software,,,,"Dispatch, service agreements, invoices, CRM."
WorkWave,workwave.com,field service software,,,,"Field service, routing, fleet, pest control, cleaning operations."
Service Fusion,servicefusion.com,field service management software,,,,"Scheduling, dispatch, estimates, payments, GPS fleet tracking."
Praxedo,praxedo.com,field service management software,2005,,,"Dispatch, technician mobile app, work orders."
BuildOps,buildops.com,commercial contractor software,,,,"Commercial service, dispatch, projects, invoices."
Dispatch,dispatch.me,field service customer experience software,,,,"Dispatching, appointments, field service customer experience."
Sprout Social,sproutsocial.com,social media management software,,,,"Social management, listening, analytics, customer care."
Buffer,buffer.com,social media management software,,,,"Social scheduling, analytics, publishing workflows."
Later,later.com,social media management software,,,,"Social scheduling, influencer and creator workflows."
Agorapulse,agorapulse.com,social media management software,,,,"Social inbox, publishing, listening, analytics."
SocialPilot,socialpilot.co,social media management software,,,,"Social scheduling, analytics, collaboration."
Sendible,sendible.com,social media management software,,,,"Social scheduling, inbox, client reporting."
Brandwatch,brandwatch.com,social listening software,,,,"Social listening, consumer intelligence, analytics."
Meltwater,meltwater.com,media intelligence software,,,,"Media monitoring, social listening, analytics."
Sprinklr,sprinklr.com,customer experience management software,,,,"Unified customer experience, social, service, insights."
Talkwalker,talkwalker.com,social listening software,,,,"Consumer intelligence, social listening, analytics."
Pulsar,pulsarplatform.com,audience intelligence software,2013,,,"Social listening, audience intelligence, narrative analytics."
Metricool,metricool.com,social media management software,,,,"Social scheduling, analytics, reports."
Statusbrew,statusbrew.com,social media management software,,,,"Social media management, engagement, reporting."
Loomly,loomly.com,social media management software,,,,"Social calendar, collaboration, publishing."
MaintainX,getmaintainx.com,cmms maintenance software,,,,"Maintenance work orders, inspections, asset history, procedures."
UpKeep,onupkeep.com,cmms maintenance software,,,,"CMMS, work orders, asset management, maintenance teams."
Fiix,fiixsoftware.com,cmms maintenance software,,,,"Maintenance management, work orders, assets, parts inventory."
eMaint,emaint.com,cmms maintenance software,,,,"CMMS, asset reliability, work orders, maintenance records."
Limble CMMS,limblecmms.com,cmms maintenance software,,,,"Maintenance management, work orders, parts, assets."
Fracttal,fracttal.com,maintenance management software,,,,"CMMS/EAM, maintenance operations, assets, work orders."
Facilio,facilio.com,property operations software,,,,"Facilities operations, maintenance workflows, building data."
ServiceChannel,servicechannel.com,facilities management software,,,,"Facilities maintenance, contractor workflows, work orders."
FMX,gofmx.com,facilities management software,,,,"Facilities scheduling, maintenance, inspections, work orders."
