dimension,case_id,path,metric,value
filtering,profile:portfolio-expansion,local,precision,1.0
filtering,profile:portfolio-expansion,local,recall,1.0
filtering,profile:portfolio-expansion,local,f1,1.0
filtering,profile:portfolio-expansion,local,predicted_count,402
filtering,profile:portfolio-expansion,local,gold_count,402
filtering,profile:portfolio-expansion,local,latency_ms,129.284
filtering,profile:portfolio-expansion,k2,precision,1.0
filtering,profile:portfolio-expansion,k2,recall,0.0249
filtering,profile:portfolio-expansion,k2,f1,0.0485
filtering,profile:portfolio-expansion,k2,predicted_count,10
filtering,profile:portfolio-expansion,k2,gold_count,402
filtering,profile:portfolio-expansion,k2,latency_ms,897.072
filtering,profile:ai-gap-audit,local,precision,1.0
filtering,profile:ai-gap-audit,local,recall,1.0
filtering,profile:ai-gap-audit,local,f1,1.0
filtering,profile:ai-gap-audit,local,predicted_count,382
filtering,profile:ai-gap-audit,local,gold_count,382
filtering,profile:ai-gap-audit,local,latency_ms,162.03
filtering,profile:ai-gap-audit,k2,precision,0.9
filtering,profile:ai-gap-audit,k2,recall,0.0236
filtering,profile:ai-gap-audit,k2,f1,0.0459
filtering,profile:ai-gap-audit,k2,predicted_count,10
filtering,profile:ai-gap-audit,k2,gold_count,382
filtering,profile:ai-gap-audit,k2,latency_ms,903.101
filtering,profile:workflow-moat,local,precision,1.0
filtering,profile:workflow-moat,local,recall,1.0
filtering,profile:workflow-moat,local,f1,1.0
filtering,profile:workflow-moat,local,predicted_count,424
filtering,profile:workflow-moat,local,gold_count,424
filtering,profile:workflow-moat,local,latency_ms,170.334
filtering,profile:workflow-moat,k2,precision,1.0
filtering,profile:workflow-moat,k2,recall,1.0
filtering,profile:workflow-moat,k2,f1,1.0
filtering,profile:workflow-moat,k2,predicted_count,424
filtering,profile:workflow-moat,k2,gold_count,424
filtering,profile:workflow-moat,k2,latency_ms,829.42
filtering,profile:budget-access,local,precision,1.0
filtering,profile:budget-access,local,recall,1.0
filtering,profile:budget-access,local,f1,1.0
filtering,profile:budget-access,local,predicted_count,424
filtering,profile:budget-access,local,gold_count,424
filtering,profile:budget-access,local,latency_ms,134.533
filtering,profile:budget-access,k2,precision,0.0
filtering,profile:budget-access,k2,recall,0.0
filtering,profile:budget-access,k2,f1,0.0
filtering,profile:budget-access,k2,predicted_count,0
filtering,profile:budget-access,k2,gold_count,424
filtering,profile:budget-access,k2,latency_ms,745.597
filtering,profile:prospect-role-tree,local,precision,1.0
filtering,profile:prospect-role-tree,local,recall,1.0
filtering,profile:prospect-role-tree,local,f1,1.0
filtering,profile:prospect-role-tree,local,predicted_count,424
filtering,profile:prospect-role-tree,local,gold_count,424
filtering,profile:prospect-role-tree,local,latency_ms,171.849
filtering,profile:prospect-role-tree,k2,precision,1.0
filtering,profile:prospect-role-tree,k2,recall,1.0
filtering,profile:prospect-role-tree,k2,f1,1.0
filtering,profile:prospect-role-tree,k2,predicted_count,424
filtering,profile:prospect-role-tree,k2,gold_count,424
filtering,profile:prospect-role-tree,k2,latency_ms,672.156
filtering,adv:tier-a-high-score,local,precision,1.0
filtering,adv:tier-a-high-score,local,recall,1.0
filtering,adv:tier-a-high-score,local,f1,1.0
filtering,adv:tier-a-high-score,local,predicted_count,7
filtering,adv:tier-a-high-score,local,gold_count,7
filtering,adv:tier-a-high-score,local,latency_ms,132.946
filtering,adv:tier-a-high-score,k2,precision,1.0
filtering,adv:tier-a-high-score,k2,recall,1.0
filtering,adv:tier-a-high-score,k2,f1,1.0
filtering,adv:tier-a-high-score,k2,predicted_count,7
filtering,adv:tier-a-high-score,k2,gold_count,7
filtering,adv:tier-a-high-score,k2,latency_ms,619.986
filtering,adv:ab-tier-midscore,local,precision,1.0
filtering,adv:ab-tier-midscore,local,recall,1.0
filtering,adv:ab-tier-midscore,local,f1,1.0
filtering,adv:ab-tier-midscore,local,predicted_count,367
filtering,adv:ab-tier-midscore,local,gold_count,367
filtering,adv:ab-tier-midscore,local,latency_ms,128.162
filtering,adv:ab-tier-midscore,k2,precision,1.0
filtering,adv:ab-tier-midscore,k2,recall,1.0
filtering,adv:ab-tier-midscore,k2,f1,1.0
filtering,adv:ab-tier-midscore,k2,predicted_count,367
filtering,adv:ab-tier-midscore,k2,gold_count,367
filtering,adv:ab-tier-midscore,k2,latency_ms,591.175
filtering,adv:posture-level-1,local,precision,1.0
filtering,adv:posture-level-1,local,recall,1.0
filtering,adv:posture-level-1,local,f1,1.0
filtering,adv:posture-level-1,local,predicted_count,382
filtering,adv:posture-level-1,local,gold_count,382
filtering,adv:posture-level-1,local,latency_ms,127.006
filtering,adv:posture-level-1,k2,precision,1.0
filtering,adv:posture-level-1,k2,recall,1.0
filtering,adv:posture-level-1,k2,f1,1.0
filtering,adv:posture-level-1,k2,predicted_count,382
filtering,adv:posture-level-1,k2,gold_count,382
filtering,adv:posture-level-1,k2,latency_ms,582.933
filtering,adv:company-contains,local,precision,1.0
filtering,adv:company-contains,local,recall,1.0
filtering,adv:company-contains,local,f1,1.0
filtering,adv:company-contains,local,predicted_count,6
filtering,adv:company-contains,local,gold_count,6
filtering,adv:company-contains,local,latency_ms,126.368
filtering,adv:company-contains,k2,precision,1.0
filtering,adv:company-contains,k2,recall,1.0
filtering,adv:company-contains,k2,f1,1.0
filtering,adv:company-contains,k2,predicted_count,6
filtering,adv:company-contains,k2,gold_count,6
filtering,adv:company-contains,k2,latency_ms,671.292
filtering,adv:unevaluable-contact-path,local,precision,1.0
filtering,adv:unevaluable-contact-path,local,recall,1.0
filtering,adv:unevaluable-contact-path,local,f1,1.0
filtering,adv:unevaluable-contact-path,local,predicted_count,424
filtering,adv:unevaluable-contact-path,local,gold_count,424
filtering,adv:unevaluable-contact-path,local,latency_ms,127.973
filtering,adv:unevaluable-contact-path,k2,precision,1.0
filtering,adv:unevaluable-contact-path,k2,recall,1.0
filtering,adv:unevaluable-contact-path,k2,f1,1.0
filtering,adv:unevaluable-contact-path,k2,predicted_count,424
filtering,adv:unevaluable-contact-path,k2,gold_count,424
filtering,adv:unevaluable-contact-path,k2,latency_ms,635.111
lookalikes,seed:abilis-solutions.com,local,precision_at_k,1.0
lookalikes,seed:abilis-solutions.com,local,recall_at_k,0.1042
lookalikes,seed:abilis-solutions.com,local,map_at_k,1.0
lookalikes,seed:abilis-solutions.com,local,relevant_count,96
lookalikes,seed:abilis-solutions.com,local,latency_ms,129.257
lookalikes,seed:abilis-solutions.com,k2,precision_at_k,1.0
lookalikes,seed:abilis-solutions.com,k2,recall_at_k,0.0521
lookalikes,seed:abilis-solutions.com,k2,map_at_k,1.0
lookalikes,seed:abilis-solutions.com,k2,relevant_count,96
lookalikes,seed:abilis-solutions.com,k2,latency_ms,779.268
lookalikes,seed:aep-italia.it,local,precision_at_k,0.6
lookalikes,seed:aep-italia.it,local,recall_at_k,0.3
lookalikes,seed:aep-italia.it,local,map_at_k,0.3564
lookalikes,seed:aep-italia.it,local,relevant_count,20
lookalikes,seed:aep-italia.it,local,latency_ms,170.235
lookalikes,seed:aep-italia.it,k2,precision_at_k,0.0
lookalikes,seed:aep-italia.it,k2,recall_at_k,0.0
lookalikes,seed:aep-italia.it,k2,map_at_k,0.0
lookalikes,seed:aep-italia.it,k2,relevant_count,20
lookalikes,seed:aep-italia.it,k2,latency_ms,781.503
lookalikes,seed:advantage360.com,local,precision_at_k,1.0
lookalikes,seed:advantage360.com,local,recall_at_k,0.5
lookalikes,seed:advantage360.com,local,map_at_k,1.0
lookalikes,seed:advantage360.com,local,relevant_count,20
lookalikes,seed:advantage360.com,local,latency_ms,171.297
lookalikes,seed:advantage360.com,k2,precision_at_k,1.0
lookalikes,seed:advantage360.com,k2,recall_at_k,0.25
lookalikes,seed:advantage360.com,k2,map_at_k,1.0
lookalikes,seed:advantage360.com,k2,relevant_count,20
lookalikes,seed:advantage360.com,k2,latency_ms,841.042
lookalikes,seed:airsquirrels.com,local,precision_at_k,1.0
lookalikes,seed:airsquirrels.com,local,recall_at_k,0.5882
lookalikes,seed:airsquirrels.com,local,map_at_k,1.0
lookalikes,seed:airsquirrels.com,local,relevant_count,17
lookalikes,seed:airsquirrels.com,local,latency_ms,177.057
lookalikes,seed:airsquirrels.com,k2,precision_at_k,0.7778
lookalikes,seed:airsquirrels.com,k2,recall_at_k,0.2353
lookalikes,seed:airsquirrels.com,k2,map_at_k,0.5565
lookalikes,seed:airsquirrels.com,k2,relevant_count,17
lookalikes,seed:airsquirrels.com,k2,latency_ms,867.256
lookalikes,seed:bbtsoftware.ch,local,precision_at_k,0.0
lookalikes,seed:bbtsoftware.ch,local,recall_at_k,0.0
lookalikes,seed:bbtsoftware.ch,local,map_at_k,0.0
lookalikes,seed:bbtsoftware.ch,local,relevant_count,15
lookalikes,seed:bbtsoftware.ch,local,latency_ms,179.288
lookalikes,seed:bbtsoftware.ch,k2,precision_at_k,0.0
lookalikes,seed:bbtsoftware.ch,k2,recall_at_k,0.0
lookalikes,seed:bbtsoftware.ch,k2,map_at_k,0.0
lookalikes,seed:bbtsoftware.ch,k2,relevant_count,15
lookalikes,seed:bbtsoftware.ch,k2,latency_ms,899.842
grounding,ground:servicetitan.com,local,coverage,1.0
grounding,ground:servicetitan.com,local,grounding_score,1.0
grounding,ground:servicetitan.com,local,facts_surfaced,6
grounding,ground:servicetitan.com,local,facts_checked,6
grounding,ground:servicetitan.com,local,latency_ms,2890.243
grounding,ground:servicetitan.com,k2,coverage,1.0
grounding,ground:servicetitan.com,k2,grounding_score,1.0
grounding,ground:servicetitan.com,k2,facts_surfaced,6
grounding,ground:servicetitan.com,k2,facts_checked,6
grounding,ground:servicetitan.com,k2,latency_ms,2866.193
grounding,ground:limblecmms.com,local,coverage,1.0
grounding,ground:limblecmms.com,local,grounding_score,1.0
grounding,ground:limblecmms.com,local,facts_surfaced,6
grounding,ground:limblecmms.com,local,facts_checked,6
grounding,ground:limblecmms.com,local,latency_ms,3108.549
grounding,ground:limblecmms.com,k2,coverage,0.8333
grounding,ground:limblecmms.com,k2,grounding_score,0.8333
grounding,ground:limblecmms.com,k2,facts_surfaced,5
grounding,ground:limblecmms.com,k2,facts_checked,6
grounding,ground:limblecmms.com,k2,latency_ms,3191.651
grounding,ground:brandwatch.com,local,coverage,1.0
grounding,ground:brandwatch.com,local,grounding_score,1.0
grounding,ground:brandwatch.com,local,facts_surfaced,6
grounding,ground:brandwatch.com,local,facts_checked,6
grounding,ground:brandwatch.com,local,latency_ms,2203.795
grounding,ground:brandwatch.com,k2,coverage,1.0
grounding,ground:brandwatch.com,k2,grounding_score,1.0
grounding,ground:brandwatch.com,k2,facts_surfaced,6
grounding,ground:brandwatch.com,k2,facts_checked,6
grounding,ground:brandwatch.com,k2,latency_ms,3219.893
grounding,ground:dealersocket.com,local,coverage,1.0
grounding,ground:dealersocket.com,local,grounding_score,1.0
grounding,ground:dealersocket.com,local,facts_surfaced,6
grounding,ground:dealersocket.com,local,facts_checked,6
grounding,ground:dealersocket.com,local,latency_ms,2186.529
grounding,ground:dealersocket.com,k2,coverage,1.0
grounding,ground:dealersocket.com,k2,grounding_score,1.0
grounding,ground:dealersocket.com,k2,facts_surfaced,6
grounding,ground:dealersocket.com,k2,facts_checked,6
grounding,ground:dealersocket.com,k2,latency_ms,2359.96
grounding,ground:pulsarplatform.com,local,coverage,1.0
grounding,ground:pulsarplatform.com,local,grounding_score,1.0
grounding,ground:pulsarplatform.com,local,facts_surfaced,6
grounding,ground:pulsarplatform.com,local,facts_checked,6
grounding,ground:pulsarplatform.com,local,latency_ms,2048.453
grounding,ground:pulsarplatform.com,k2,coverage,1.0
grounding,ground:pulsarplatform.com,k2,grounding_score,1.0
grounding,ground:pulsarplatform.com,k2,facts_surfaced,6
grounding,ground:pulsarplatform.com,k2,facts_checked,6
grounding,ground:pulsarplatform.com,k2,latency_ms,2900.317
grounding,ground:opengov.com,local,coverage,1.0
grounding,ground:opengov.com,local,grounding_score,1.0
grounding,ground:opengov.com,local,facts_surfaced,6
grounding,ground:opengov.com,local,facts_checked,6
grounding,ground:opengov.com,local,latency_ms,2334.3
grounding,ground:opengov.com,k2,coverage,1.0
grounding,ground:opengov.com,k2,grounding_score,1.0
grounding,ground:opengov.com,k2,facts_surfaced,6
grounding,ground:opengov.com,k2,facts_checked,6
grounding,ground:opengov.com,k2,latency_ms,1784.906
grounding,ground:example.com,local,coverage,0.8333
grounding,ground:example.com,local,grounding_score,0.8333
grounding,ground:example.com,local,facts_surfaced,5
grounding,ground:example.com,local,facts_checked,6
grounding,ground:example.com,local,latency_ms,2293.26
grounding,ground:example.com,k2,coverage,0.8333
grounding,ground:example.com,k2,grounding_score,0.8333
grounding,ground:example.com,k2,facts_surfaced,5
grounding,ground:example.com,k2,facts_checked,6
grounding,ground:example.com,k2,latency_ms,2199.972
