company,domain,tier,total_score,ai_posture,ai_gap_score,data_workflow_score,commercial_urgency_score,budget_access_score,feasibility_score,hard_gate_failed,hard_gate_unknown,classification_source,next_action,warnings
ServiceTitan,servicetitan.com,A,86,0,30,25,20,9,2,False,True,rules,Prioritize human research and outbound.,Manual review: Founded before 2025 is unknown (Founded year not found.)
Samsara,samsara.com,A,84,1,26,25,20,9,4,False,True,rules,Prioritize human research and outbound.,Manual review: Founded before 2025 is unknown (Founded year not found.)
Limble CMMS,limblecmms.com,A,84,1,26,25,20,9,4,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
PracticePanther,practicepanther.com,A,83,0,30,20,20,9,4,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
GPS Trackit,gpstrackit.com,A,82,1,26,25,20,9,2,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Dispatch,dispatch.me,A,81,0,30,20,20,9,2,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
FMX,gofmx.com,A,80,0,30,25,12,9,4,False,True,rules,Prioritize human research and outbound.,Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Praxedo,praxedo.com,A,79,1,26,20,20,9,4,False,True,rules,Prioritize human research and outbound.,Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Filevine,filevine.com,A,79,1,26,20,20,9,4,False,True,rules,Prioritize human research and outbound.,Manual review: Founded before 2025 is unknown (Founded year not found.)
Guidewire,guidewire.com,A,79,1,26,20,20,9,4,False,True,rules,Prioritize human research and outbound.,Manual review: Founded before 2025 is unknown (Founded year not found.)
FieldEdge,fieldedge.com,A,78,1,26,25,16,9,2,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
BuildOps,buildops.com,A,78,1,26,25,16,9,2,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
Procore,procore.com,A,78,1,26,25,20,3,4,False,True,rules,Prioritize human research and outbound.,Manual review: Founded before 2025 is unknown (Founded year not found.)
NexTraq,nextraq.com,A,77,1,26,20,20,9,2,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
ClearPathGPS,clearpathgps.com,A,77,1,26,20,20,9,2,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Autofleet,autofleet.io,A,77,1,26,20,20,9,2,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Sprout Social,sproutsocial.com,A,77,1,26,20,20,9,2,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
MaintainX,getmaintainx.com,A,77,1,26,20,20,9,2,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
ServiceChannel,servicechannel.com,A,77,1,26,20,20,9,2,False,False,rules,Prioritize human research and outbound.,
Availity,availity.com,A,77,0,30,20,16,9,2,False,True,rules,Prioritize human research and outbound.,Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Snapsheet,snapsheetclaims.com,A,77,1,26,20,20,9,2,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
Facilio,facilio.com,A,76,1,26,25,20,3,2,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Karbon,karbonhq.com,A,75,1,26,20,16,9,4,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
Duck Creek,duckcreek.com,A,75,2,22,20,20,9,4,False,True,rules,Prioritize human research and outbound.,Fetch failure cap reached at 5 failures. | Manual review: Founded before 2025 is unknown (Founded year not found.)
DealerSocket,dealersocket.com,B,74,0,30,15,16,9,4,False,True,rules,Review manually; qualify trigger and budget.,Manual review: Founded before 2025 is unknown (Founded year not found.) | Manual review: Enough budget is unknown (No employee count or funding/customer scale found.)
Brandwatch,brandwatch.com,B,74,1,26,15,20,9,4,False,True,rules,Review manually; qualify trigger and budget.,Manual review: Founded before 2025 is unknown (Founded year not found.)
UpKeep,onupkeep.com,B,74,3,14,25,20,9,6,False,True,rules,Review manually; qualify trigger and budget.,Manual review: Founded before 2025 is unknown (Founded year not found.)
Fleet Complete,fleetcomplete.com,B,73,1,26,20,16,9,2,False,True,rules,Review manually; qualify trigger and budget.,Manual review: Founded before 2025 is unknown (Founded year not found.)
